ISBN-13,Title,Author,Publisher,Description,NYT Review Link,Most Recent Bestseller Date,Most Recent Rank,Number of Weeks on List
9.78014E+12,The Iliad (Penguin Classics Deluxe Edition),Homer,,,https://www.nytimes.com/1997/07/20/books/yo-achilles.html,null,null,null
9.7814E+12,BELOVED,Toni Morrison,Vintage,Winner of the 1988 Pulitzer Prize for fiction. A former slave living in Ohio is haunted by events at the Kentucky plantation from which she escaped 18 years ago.,https://www.nytimes.com/1987/09/13/books/jaunted-by-their-nightmares.html,8/15/2020,4,7
9.78038E+12,Norwegian Wood,Haruki Murakami,,,https://www.nytimes.com/2000/09/24/books/rubber-souls.html,null,null,null
9.78006E+12,THE PACT,Jodi Picoult,HarperCollins,"When a teenage girl commits suicide, her boyfriend is accused of murder.",https://www.nytimes.com/1998/08/02/books/books-in-brief-fiction-060151.html,8/27/2016,16,0
9.78055E+12,A BRIEF HISTORY OF TIME,Stephen Hawking,Bantam,The British cosmologist reviews efforts to create a unified theory of the universe; first published in 1988.,,6/30/2018,6,0
9.7814E+12,THE SECRET HISTORY,Donna Tartt,Vintage,"Close friends at a small college in Vermont must deal with the consequences of a crime; Tartt's first novel, originally published in 1992. ",,7/5/2014,24,0
9.78045E+12,Where the Heart Is (Oprah's Book Club),Billie Letts,,,https://www.nytimes.com/1995/08/06/books/in-short-fiction-438395.html,null,null,null
9.7814E+12,Kafka on the Shore,Haruki Murakami,,,https://www.nytimes.com/2005/02/06/books/review/kafka-on-the-shore-realitys-culdesacs.html,null,null,null
9.78039E+12,DRAGONFLY IN AMBER,Diana Gabaldon,Dell,"Volume 2 of the Outlander series, about an 18th-century Scottish warrior and a time-traveling World War II-era nurse; first published in 1992.",,6/20/2015,19,0
9.78062E+12,The Namesake: A Novel,Jhumpa Lahiri,,,https://www.nytimes.com/2003/09/28/books/out-of-the-overcoat.html,null,null,null
9.7808E+12,Cold Mountain,Charles Frazier,,,https://www.nytimes.com/1997/07/13/books/american-odyssey.html,null,null,null
9.78031E+12,A MILLION LITTLE PIECES,James Frey,Knopf Doubleday,Both author and publisher acknowledge that this addiction memoir contains numerous fabrications.,https://www.nytimes.com/2003/06/08/books/step-13-write-a-book.html,5/21/2011,14,1
9.78031E+12,SOMETHING BLUE,Emily Giffin,St. Martin’s Griffin,"After being betrayed by her fiancé and her best friend, Darcy Rhone flees to London in an attempt to recreate her glamorous life on another continent.",,8/20/2011,33,0
9.78081E+12,SPEAKER FOR THE DEAD,Orson Scott Card,Tor,"Thousands of years after the events of ""Ender's Game,"" a second alien race has been discovered.",,12/28/2013,14,0
9.78045E+12,MAXIMUM RIDE,James Patterson,"Little, Brown & Company",Winged children try to save the world.,,6/6/2015,10,81
9.78006E+12,KITCHEN CONFIDENTIAL,Anthony Bourdain,Ecco,A memoir-exposé of the restaurant world. Originally published in 2000.,https://www.nytimes.com/2001/05/20/books/new-noteworthy-paperbacks-272809.html,1/1/2022,15,77
9.78055E+12,The Prince of Tides: A Novel,Pat Conroy,,,https://www.nytimes.com/1986/10/12/books/romancing-the-shrink.html,null,null,null
9.78142E+12,"DEATH NOTE, VOL. 1",Tsugumi Ohba and Takeshi Obata,VIZ Media,Light Yagami discovers a supernatural notebook that allows him to murder anyone he has seen by writing their name in it. He uses this ability to try to rid the world of evil.,,5/2/2015,7,3
9.78006E+12,A PEOPLE'S HISTORY OF THE UNITED STATES: 1492 TO PRESENT,Howard Zinn,HarperAudio,"An account from the point of view of women, African-Americans and others who are often marginalized. Read by Jeff Zinn. 34 hours, 8 minutes unabridged.",,12/1/2018,8,0
9.78074E+12,1776,David McCullough,Simon & Schuster,"An account of America's founding year by the Pulitzer Prize-winning author, focusing on the inexperienced George Washington and heroic citizen soldiers. Originally published in 2005.",,7/6/2013,19,1
9.78158E+12,THE POWER OF NOW,Eckhart Tolle,New World Library,A guide to personal growth and spiritual enlightenment. Originally published in 2002.,,12/31/2016,9,0
